Hours,Day
0.2,1
0.05,2
1,3
0.3,4
0.12,5
0.4,6
0.4,7
0.8,8
.2,9
.5,10
1, 11
.8, 12
0.3, 13
0.1, 14
0.01,15
0.4,16
1,17
2.1,18
0.1,19
1,20
